一,A00001
𦾳,C11995
𦿃,C11996
𦿌,C11997
𧀄,C11998
𦿊,C11999
𦿏,C12000
𦾽,C12001
𦿎,C12002
𧀔,C12003
𦾺,C12004
藊,C12005
𧀚,C12006
𦿁,C12007
𦿀,C12008
𧀖,C12009
䕗,C12010
𦿍,C12011
𦾻,C12012
䕔,C12013
𧀯,C12014
藛,C12015
𧀡,C12016
𧀣,C12017
藦,C12018
藯,C12019
𧂣,C12020
𧁉,C12021
藖,C12022
𧀺,C12024
𧁈,C12025
𧀭,C12026
䕢,C12027
𧀥,C12028
藞,C12029
𧁊,C12030
𧀩,C12031
䕟,C12032
䕞,C12033
𧀲,C12034
䕡,C12035
𧀴,C12036
𧀤,C12037
𧀧,C12038
𧀬,C12039
𧁋,C12040
藠,C12041
𧀻,C12042
𧀠,C12043
藧,C12044
藢,C12045
𧀨,C12046
𧂜,C12047
䕪,C12048
𧂨,C12049
藽,C12050
䕦,C12051
𧂋,C12052
䕰,C12053
𧂒,C12054
𧂔,C12055
𧂞,C12056
䕱,C12057
䕭,C12058
𧂏,C12059
𧂈,C12060
䕩,C12061
𧁾,C12062
䕧,C12063
𧂁,C12064
𧀰,C12065
𧂛,C12066
𧂂,C12067
𧂆,C12068
𧂐,C12069
𧂅,C12070
𧂉,C12071
𧁿,C12072
𧂩,C12073
蘫,C12074
𧃹,C12075
䕳,C12076
䕵,C12077
𧃝,C12078
𧃙,C12079
𧃨,C12080
𧃔,C12081
𧃞,C12082
𧃛,C12083
𧃢,C12084
𧃟,C12085
𧃑,C12086
𧃖,C12087
𧃩,C12088
𧃒,C12089
𧃪,C12090
𧄚,C12091
𧄍,C12092
𧄏,C12093
𧄛,C12094
𧄠,C12095
䕸,C12096
蘲,C12097
𧃐,C12098
𧄎,C12099
蘶,C12100
𧄐,C12101
𧄑,C12102
𧄓,C12103
𧄻,C12104
𧄹,C12105
𧄿,C12106
𧅋,C12107
𧅃,C12108
䕻,C12109
𧅀,C12110
䕼,C12111
蘽,C12112
𧅆,C12113
𧄼,C12114
𧄾,C12115
𧄽,C12116
𧄺,C12117
𧅘,C12118
𧅄,C12119
𧅗,C12120
𧅖,C12121
𧅚,C12122
䕾,C12123
䕽,C12124
𧅰,C12125
虂,C12126
𧅢,C12127
𧅮,C12128
𧅺,C12129
𧅻,C12130
䖁,C12131
䖂,C12132
𧆇,C12133
䖃,C12134
𧆉,C12135
𧆐,C12136
𧆏,C12137
䖆,C12138
𧆕,C12139
𧆙,C12140
䖇,C12141
𧆓,C12142
𧆘,C12143
虍,C12144
䖉,C12145
䖌,C12146
䖊,C12147
虑,C12148
𧆤,C12149
䖎,C12150
𧆦,C12151
𧆣,C12152
虘,C12153
𧆥,C12154
䖑,C12155
䖐,C12156
𧆲,C12157
𧆻,C12158
𧆼,C12159
䖔,C12160
䖓,C12161
𧆺,C12162
䖒,C12163
虠,C12164
𧇁,C12165
𧇉,C12166
𧇓,C12167
䖗,C12168
𧇠,C12169
𧇡,C12170
𧇞,C12171
虥,C12172
𧇟,C12173
䖘,C12174
𧇜,C12175
𧇝,C12176
𧇬,C12177
𧇦,C12178
𧇧,C12179
虤,C12180
虨,C12181
𧇿,C12182
䖛,C12183
䖚,C12184
䖙,C12185
𧈁,C12186
𧇼,C12187
𧈈,C12188
𧈍,C12189
䖜,C12190
𧈓,C12191
𧈑,C12192
𧈘,C12193
𧈜,C12195
𧈝,C12196
𧈟,C12197
虶,C12198
䖞,C12199
虸,C12200
𧈭,C12201
虼,C12202
虳,C12203
𧈪,C12204
蚄,C12205
蚟,C12206
䖡,C12207
𧉄,C12208
𧉋,C12209
蚘,C12210
𧉈,C12211
𧉛,C12212
𧉑,C12213
𧈽,C12214
蚎,C12215
蚛,C12216
𧉀,C12217
𧉆,C12218
䖢,C12219
𧉍,C12220
𧉃,C12221
蚝,C12222
蚐,C12223
𧈻,C12224
蚔,C12225
𧉊,C12226
𧉁,C12227
𧈾,C12228
𧉎,C12229
𧉞,C12230
𧉡,C12231
𧉢,C12232
䖩,C12233
蚲,C12234
𧉣,C12235
蚭,C12236
蛃,C12237
𧊎,C12238
蚽,C12239
䖨,C12240
𧉩,C12241
𧉫,C12242
䖧,C12243
𧊅,C12244
𧊍,C12245
䖦,C12246
𧉤,C12247
𧉟,C12248
蚾,C12249
𧉰,C12250
蚮,C12251
𧉪,C12252
𧉥,C12253
𧉭,C12254
䖳,C12255
𧊷,C12256
𧊏,C12257
䖱,C12258
𧊖,C12259
𧊞,C12260
𧊗,C12261
䖻,C12262
𧊕,C12263
𧊥,C12264
蛨,C12265
蛕,C12266
𧊘,C12267
蛡,C12268
蛧,C12269
𧊣,C12270
𧊚,C12271
𧊭,C12272
蛑,C12273
䖴,C12274
蛥,C12275
𧊦,C12276
䖲,C12277
𧊶,C12278
蛒,C12279
𧊙,C12280
䖰,C12281
𧊯,C12282
䖵,C12283
䖭,C12284
𧊒,C12285
䖯,C12286
𧊬,C12287
䖪,C12288
𧊟,C12289
𧊔,C12290
𧋘,C12291
蛼,C12292
蜅,C12293
𧋑,C12294
𧋐,C12295
𧋖,C12296
蜐,C12297
𧋒,C12298
𧋍,C12299
蜟,C12300
䖶,C12301
𧋎,C12302
蛽,C12303
𧋡,C12304
𧋕,C12305
𧋏,C12306
䖷,C12307
𧋓,C12308
蜔,C12309
𧌽,C12310
蜏,C12311
𧋔,C12312
𧋊,C12313
䖺,C12314
䗆,C12315
𧌃,C12316
𧌬,C12317
蜶,C12318
𧎈,C12319
𧌴,C12320
𧌗,C12321
𧌉,C12322
䗀,C12323
䗃,C12324
䗁,C12325
𧌄,C12326
𧌆,C12327
𧌚,C12328
䗅,C12329
䗉,C12330
𧌎,C12331
𧌧,C12332
䗂,C12333
𧌏,C12334
𧌅,C12335
䗄,C12336
𧌇,C12337
䗇,C12338
𧌍,C12339
𧌙,C12340
𧌔,C12341
𧌌,C12342
䖿,C12343
𧌝,C12344
𧌢,C12345
𧌣,C12346
𧍮,C12347
蝏,C12348
䗒,C12349
𧎄,C12350
𧍜,C12351
𧍴,C12352
蝲,C12353
𧍫,C12354
𧍩,C12355
𧍔,C12356
䗎,C12357
蝻,C12358
𧍳,C12359
蝵,C12360
𧍢,C12361
𧎃,C12362
蝢,C12363
蝰,C12364
𧍖,C12365
𧍪,C12366
𧍥,C12367
蝧,C12368
𧍠,C12369
𧍒,C12370
𧍕,C12371
蝩,C12372
𧍰,C12373
𧍯,C12374
𧍭,C12375
䗔,C12376
𧍲,C12377
𧍬,C12378
𧍶,C12379
䗐,C12380
𧍵,C12381
𧍙,C12382
螊,C12383
螠,C12384
𧎸,C12385
𧎡,C12386
𧎥,C12387
𧎳,C12388
螆,C12389
𧎨,C12390
䗚,C12391
𧎺,C12392
𧏂,C12393
䗘,C12394
𧎦,C12395
𧎤,C12396
𧎣,C12397
𧎫,C12398
𧎼,C12399
䗗,C12400
𧎵,C12401
𧎯,C12402
𧎷,C12403
螋,C12404
螕,C12405
䗛,C12406
䗜,C12407
螉,C12408
𧎿,C12409
𧎰,C12410
𧏌,C12411
𧎭,C12412
𧏇,C12413
螌,C12414
𧎱,C12415
𧏊,C12416
𧏄,C12417
𧎹,C12418
螲,C12419
𧐴,C12420
𧏹,C12421
䗧,C12422
䗤,C12423
𧐙,C12424
𧐍,C12425
𧐇,C12426
𧐖,C12427
𧏺,C12428
䗡,C12429
䗮,C12430
𧐔,C12431
䗩,C12432
𧏻,C12433
𧐞,C12434
𧐟,C12435
䗨,C12436
䳋,C12437
𧐎,C12438
䗥,C12439
𧑀,C12440
䗠,C12441
𧐈,C12442
䗟,C12443
𧐓,C12444
蟎,C12447
𧑌,C12448
䗣,C12449
𧑗,C12450
𧑚,C12451
蟝,C12452
𧑒,C12453
䗲,C12454
𧑐,C12455
𧑔,C12456
𧑡,C12457
𧑜,C12458
𧑅,C12459
𧑕,C12460
䗰,C12461
𧑊,C12463
𧑋,C12464
蟩,C12465
𧑑,C12466
𧑍,C12467
𧑩,C12468
䗱,C12469
𧑫,C12470
蟱,C12471
𧑓,C12472
䗯,C12473
𧑦,C12474
𧑘,C12475
𧑝,C12476
𧑧,C12477
𧑖,C12478
𧒈,C12479
𧑤,C12480
𧒂,C12481
𧑎,C12482
䗷,C12483
蠊,C12484
𧒽,C12485
蟽,C12486
𧒘,C12487
䗵,C12488
𧒗,C12489
𧒖,C12490
蠂,C12491
蟕,C12492
䗴,C12493
蠄,C12494
䗸,C12495
𧒝,C12496
䗺,C12497
𧒨,C12498
𧓏,C12499
蠘,C12500
𧓋,C12501
𧓘,C12502
䗼,C12503
𧓝,C12504
𧓓,C12505
𧓐,C12506
䗽,C12507
𧓕,C12508
𧓖,C12509
𧓺,C12510
𧓸,C12511
𧓴,C12512
𧓻,C12513
𧔎,C12514
𧓬,C12515
蠞,C12516
𧔂,C12517
䘄,C12518
𧔏,C12519
蠚,C12520
𧔠,C12521
𧔟,C12522
𧔣,C12523
𧔝,C12524
𧔷,C12525
𧔥,C12526
𧔤,C12527
𧔪,C12528
𧔞,C12529
𧔧,C12530
𧔳,C12531
𧔨,C12532
𧔴,C12533
𧕄,C12534
𧕍,C12535
𧕅,C12536
䘋,C12537
𧕃,C12538
𧕇,C12539
𧕋,C12540
𧕕,C12541
𧕒,C12542
𧕡,C12543
𧕨,C12544
𧕥,C12545
𧕟,C12546
𧕤,C12547
𧕞,C12548
𧕝,C12549
𧕛,C12550
𧕧,C12551
𧕲,C12552
𧕮,C12553
𧕯,C12554
𧕼,C12555
𧕴,C12556
𧕸,C12557
𧕰,C12558
𧕹,C12559
𧕱,C12560
𧖆,C12561
䘎,C12562
𧖒,C12563
𧖔,C12564
𧖕,C12565
𧖘,C12566
𧖛,C12567
𧖜,C12568
𧖧,C12569
𧖪,C12570
𧖬,C12571
𧖵,C12572
𧖻,C12573
䘓,C12574
𧖼,C12575
𧖺,C12576
𧗁,C12577
𧗈,C12578
𧗆,C12579
𧗌,C12580
𧗋,C12581
𧗎,C12582
𧗇,C12583
𧗕,C12584
𧗖,C12585
𧗣,C12586
䘕,C12587
衏,C12588
𧗦,C12589
𧗩,C12590
衑,C12591
䘖,C12592
𧗫,C12593
𧗴,C12594
𧗹,C12595
䘗,C12596
䘘,C12597
衠,C12598
𧗿,C12599
𧘈,C12600
衦,C12601
𧘚,C12602
𧘏,C12603
䘝,C12604
𧘍,C12605
𧘓,C12606
𧘑,C12607
𧘜,C12608
𧘐,C12609
𧘩,C12610
䘡,C12611
𧘳,C12612
𧘮,C12613
𧘞,C12614
衴,C12615
䘟,C12616
𧙧,C12617
𧘢,C12618
𧘥,C12619
衼,C12620
𧘧,C12621
衸,C12622
𧘽,C12623
𧙌,C12624
𧙃,C12625
𧙉,C12626
䘢,C12627
𧙇,C12628
𧙀,C12629
𧙈,C12630
𧙂,C12631
袜,C12632
䘦,C12633
袔,C12634
𧙅,C12635
𧙛,C12636
袣,C12637
䘤,C12638
袏,C12639
袥,C12640
袓,C12641
䘥,C12642
袩,C12643
袦,C12644
袝,C12645
袊,C12646
袎,C12647
𧙝,C12648
𧙆,C12649
䘪,C12650
𧙯,C12651
𧙭,C12652
𧙾,C12653
𧙬,C12654
䘨,C12655
𧙡,C12656
𧙣,C12657
裉,C12658
𧙫,C12659
𧙞,C12660
䘭,C12661
䘬,C12662
袻,C12663
𧘾,C12664
䘣,C12665
袳,C12666
𧙤,C12667
𧚐,C12668
𧚡,C12669
𧚁,C12670
𧚅,C12671
𧙮,C12672
𧚈,C12673
𧚂,C12674
𧚆,C12675
𧚏,C12676
䘻,C12677
裌,C12678
裓,C12679
䘯,C12680
裐,C12681
𧚉,C12682
𧚀,C12683
𧚇,C12684
𧚄,C12685
𧚋,C12686
裑,C12687
䘰,C12688
𧚃,C12689
䘷,C12690
𧚩,C12691
𧚵,C12692
䘾,C12693
𧚬,C12694
𧚪,C12695
䘹,C12696
裰,C12697
𧚫,C12698
𧚨,C12699
䘼,C12700
䘿,C12701
𧚥,C12702
裬,C12703
䙁,C12704
䘴,C12705
裿,C12706
䘽,C12707
𧛃,C12708
𧚯,C12709
裪,C12710
𧚭,C12711
裫,C12712
𧚷,C12713
䘳,C12714
䘵,C12715
𧛣,C12716
𧛧,C12717
𧛗,C12718
𧛖,C12719
𧛏,C12720
䙆,C12721
䙅,C12722
𧛞,C12723
䙃,C12724
𧛟,C12725
𧛚,C12726
𧛩,C12727
褍,C12728
𧛒,C12729
䙄,C12730
䙈,C12731
褉,C12732
𧜊,C12733
𧜍,C12734
𧜈,C12735
褣,C12736
𧜅,C12737
褯,C12738
䙒,C12739
褨,C12740
褬,C12741
𧛻,C12742
𧛾,C12743
褟,C12744
𧜃,C12745
𧜂,C12746
𧛼,C12747
䙎,C12748
𧛹,C12749
褺,C12750
𧜤,C12751
𧜥,C12752
𧜽,C12753
𧜠,C12754
𧜧,C12755
襀,C12756
䙙,C12757
䙔,C12758
褿,C12759
𧜦,C12760
褹,C12762
𧜝,C12763
䙘,C12764
𧜞,C12765
𧜲,C12766
䙜,C12767
𧜣,C12768
䙕,C12769
𧝗,C12770
𧝚,C12771
𧝏,C12772
𧝬,C12773
𧝑,C12774
𧝊,C12775
𧝋,C12776
𧝘,C12777
𧝙,C12778
䙢,C12779
𧝃,C12780
䙞,C12781
襑,C12782
襈,C12783
𧝇,C12784
䙣,C12785
𧝯,C12786
𧝪,C12787
𧝒,C12788
𧝫,C12789
𧝆,C12790
䙠,C12791
𧝭,C12792
襊,C12793
襉,C12794
䙡,C12795
䙟,C12796
𧝔,C12797
𧝉,C12798
𧝮,C12799
襎,C12800
𧝌,C12801
𧝷,C12802
𧝸,C12803
𧝴,C12804
𧝲,C12805
䙤,C12806
襙,C12807
𧝳,C12808
𧞒,C12809
𧞕,C12810
𧞐,C12811
𪗋,C12812
𧞍,C12813
𧞛,C12814
𧞝,C12815
䙨,C12816
𧞏,C12817
䙦,C12818
䙩,C12819
𧞞,C12820
𧞦,C12821
襫,C12822
𧞭,C12823
𧞩,C12824
𧞪,C12825
𧞺,C12826
𧞹,C12827
襱,C12828
襰,C12829
𧞸,C12830
䙬,C12831
襵,C12832
𧟃,C12833
襼,C12834
𧟌,C12835
襻,C12836
襸,C12837
𧟑,C12838
䙱,C12839
𧟙,C12840
𧟞,C12841
𧟡,C12842
𧟦,C12843
䙲,C12844
𧟧,C12845
䙵,C12846
𧟵,C12847
𧠂,C12848
𧠆,C12849
覎,C12850
𧠋,C12851
𧠓,C12852
𧠘,C12853
𧠚,C12854
䙹,C12855
𧠎,C12856
𧠏,C12857
𧠛,C12858
覒,C12859
𧠒,C12860
覑,C12861
䙽,C12862
䙾,C12863
覗,C12864
𧠠,C12865
䙿,C12866
䙼,C12867
𧠩,C12868
𧠫,C12869
𧠪,C12870
𧠰,C12871
䚀,C12872
𧠽,C12874
覠,C12875
覟,C12876
䚂,C12877
𧡅,C12878
𧡈,C12879
𧠿,C12880
𧠼,C12881
𧠾,C12882
覞,C12883
𧡏,C12884
𧡍,C12885
䚅,C12886
𧡋,C12887
𧡑,C12888
䚄,C12889
𧡖,C12890
𧡮,C12891
𧡣,C12892
𧡢,C12893
𧡡,C12894
𧡤,C12895
𧡫,C12896
䚈,C12897
𧡨,C12898
覨,C12899
䚆,C12900
䚇,C12901
𧡯,C12902
𧡦,C12903
𧡬,C12904
䚉,C12905
覫,C12906
䚊,C12907
𧡸,C12908
𧡺,C12909
䚋,C12910
𧡹,C12911
𧢆,C12912
覱,C12913
𧢂,C12914
䚍,C12915
𧢄,C12916
䚒,C12917
䚏,C12918
䚐,C12919
䚌,C12920
覹,C12921
𧢖,C12922
𧢒,C12923
䚔,C12924
覾,C12925
𧢞,C12926
𧢝,C12927
𧢜,C12928
𧢢,C12929
𧢧,C12930
䚕,C12931
𧢭,C12932
𧢯,C12933
𧢵,C12934
𧢷,C12935
𧢹,C12936
𧣁,C12937
𧣃,C12938
𧢾,C12939
觘,C12940
觗,C12941
𧢽,C12942
䚗,C12943
𧢼,C12944
𧣒,C12945
𧣚,C12946
𧣑,C12947
觛,C12948
𧣛,C12949
𧣕,C12950
𧣢,C12951
䚙,C12952
触,C12953
𧣣,C12954
䚚,C12955
𧣡,C12956
䚘,C12957
觪,C12958
𧣬,C12959
觨,C12960
𧣪,C12961
𧣭,C12962
𧣩,C12963
䚛,C12964
䚝,C12965
𧣹,C12966
𧣸,C12967
𧤆,C12968
𧣼,C12969
䚞,C12970
䚠,C12971
𧤃,C12972
𧤉,C12973
𧣺,C12974
𧣷,C12975
䚜,C12976
𧣵,C12977
𧤎,C12978
𧤍,C12979
𧤕,C12980
𧤒,C12981
䚢,C12982
䚣,C12983
𧤏,C12984
䚡,C12985
𧤖,C12986
𧤐,C12987
𧤗,C12988
𧤑,C12989
𧤛,C12990
𧤮,C12991
𧤣,C12992
𧤠,C12993
𧤟,C12994
䚦,C12995
𧤲,C12996
䚨,C12997
𧤼,C12998
𧤽,C12999
𧤻,C13000
䚩,C13001
䚪,C13002
䚫,C13003
𧥈,C13004
𧥌,C13005
𧥍,C13006
𧥓,C13007
䚭,C13008
𧥖,C13009
𧥙,C13010
𧥛,C13011
𧥜,C13012
䚯,C13013
訅,C13014
䚮,C13015
𧥦,C13016
𧥤,C13017
訍,C13018
𧥣,C13019
訉,C13020
訋,C13021
訔,C13022
䚵,C13023
訦,C13024
𧥹,C13025
𧥼,C13026
䛃,C13027
訮,C13028
䚶,C13029
𧥱,C13030
䚼,C13031
𧥮,C13032
䚳,C13033
𧦀,C13034
𧥵,C13035
訲,C13036
訨,C13037
𧦛,C13038
䚴,C13039
𧥸,C13040
䚽,C13041
訯,C13042
䚿,C13043
𧥴,C13044
䚷,C13045
䛀,C13046
訜,C13047
䚸,C13048
䚻,C13049
詑,C13050
䛎,C13051
詃,C13052
詊,C13053
䛉,C13054
𧦮,C13055
䛍,C13056
䛏,C13057
詓,C13058
詌,C13059
𧦯,C13060
𧦤,C13061
𧦞,C13062
䛋,C13063
詚,C13064
訷,C13065
䛅,C13066
䛆,C13067
䛊,C13068
詇,C13069
訵,C13070
詜,C13071
𧦟,C13072
𧦝,C13073
䛄,C13074
𧦨,C13075
䛌,C13076
䛈,C13077
䛇,C13078
訸,C13079
詂,C13080
𧦭,C13081
詏,C13082
詉,C13083
𧧕,C13084
𧧄,C13085
詨,C13086
𧧉,C13087
誁,C13088
𧧠,C13089
詪,C13090
誀,C13091
𧧅,C13092
𧧟,C13093
𧧒,C13094
𧧋,C13095
𧧊,C13096
𧧝,C13097
詴,C13098
䛔,C13099
詺,C13100
𧧨,C13101
詯,C13102
𧧆,C13103
𧧓,C13104
䛙,C13105
䛘,C13106
𧧔,C13107
𧨜,C13108
詥,C13109
䛚,C13110
䛗,C13111
誏,C13112
䛨,C13113
誛,C13114
誖,C13115
𧧷,C13116
䛠,C13117
誧,C13118
䛝,C13119
誎,C13120
𧧺,C13121
𧨊,C13122
𧧵,C13123
䛞,C13124
𧧾,C13125
誢,C13126
䛣,C13127
𧨋,C13128
䛤,C13129
𧧸,C13130
𧨄,C13131
䛥,C13132
𧨀,C13133
誜,C13134
誔,C13135
誗,C13136
誐,C13137
䛢,C13138
𧨂,C13139
𧧻,C13140
𧧶,C13141
𧧹,C13142
誩,C13143
䛷,C13144
𧩇,C13145
䛪,C13146
𧩅,C13147
𧨾,C13148
𧨱,C13149
誱,C13151
𧩆,C13152
諘,C13153
䛯,C13154
𧨩,C13155
䛭,C13156
𧨴,C13157
諌,C13158
䛩,C13159
𧨿,C13160
諎,C13161
諃,C13162
䛴,C13163
𧩄,C13164
誺,C13165
𧨵,C13166
𧩚,C13167
䛳,C13168
誷,C13169
䛰,C13170
䛫,C13171
䛱,C13172
𧨸,C13173
𧨪,C13174
𧨳,C13175
𧨷,C13176
𧩃,C13177
誵,C13178
𧨹,C13179
𧨰,C13180
𧩝,C13181
䛬,C13182
誽,C13183
諙,C13184
䛲,C13185
𧨲,C13186
𧨧,C13187
𧩮,C13188
諪,C13189
𧩧,C13190
𧩹,C13191
諨,C13192
𧩲,C13193
𧩦,C13194
諽,C13195
𧩼,C13196
𧩬,C13197
𧪇,C13198
諹,C13199
諿,C13200
諣,C13201
諯,C13202
䛹,C13203
諥,C13204
䛽,C13205
諻,C13206
𧩨,C13207
𧪃,C13208
𧪅,C13209
𧩶,C13210
𧩣,C13211
𧩴,C13212
謆,C13213
𧪠,C13214
𧪶,C13215
𧪘,C13216
𧪜,C13217
䛾,C13218
𧪹,C13219
䛿,C13220
𧪞,C13221
𧪡,C13222
𧪣,C13223
謜,C13224
𧪨,C13225
𧪦,C13226
𧪯,C13227
𧪚,C13228
𧪙,C13229
𧪢,C13230
𧪝,C13231
䜂,C13232
𧪵,C13233
𧪫,C13234
謓,C13235
謟,C13236
謚,C13237
謉,C13238
𧫡,C13239
𧫢,C13240
䜇,C13241
謶,C13242
𧫥,C13243
𧫛,C13244
謮,C13245
𧫞,C13246
謸,C13247
謤,C13248
䜉,C13249
𧫗,C13250
𧫤,C13251
𧫓,C13252
䜅,C13253
謲,C13254
𧫕,C13255
謻,C13256
𧫝,C13257
䜈,C13258
䜃,C13259
䜆,C13260
謽,C13261
謺,C13262
𧫬,C13263
𧫦,C13264
𧫜,C13265
𧬤,C13266
𧫾,C13267
𧬆,C13268
譄,C13269
䜎,C13270
𧬋,C13271
𧫿,C13272
𧬇,C13273
䜑,C13274
𧬕,C13275
䜏,C13276
𧬂,C13277
䜍,C13278
譂,C13279
𧬌,C13280
䜋,C13281
𧬖,C13282
譒,C13283
譗,C13284
𧬈,C13285
𧬊,C13286
䜌,C13287
譩,C13288
𧬪,C13289
譧,C13290
譢,C13291
𧬩,C13292
䜗,C13293
𧬮,C13294
𧬧,C13295
䜓,C13296
𧬨,C13297
䜕,C13298
譞,C13299
𧬬,C13300
譫,C13301
譭,C13302
䜒,C13303
譮,C13304
𧬰,C13305
𧭈,C13306
䜞,C13307
𧭓,C13308
譳,C13309
𧭍,C13310
𧭚,C13311
𧭏,C13312
䜙,C13313
䜜,C13314
䜚,C13315
𧭮,C13316
𧭎,C13317
𧭕,C13318
䜝,C13319
𧭔,C13320
譶,C13321
讅,C13322
𧭠,C13323
譿,C13324
𧭟,C13325
䜡,C13326
𧭤,C13327
𧭜,C13328
𧭪,C13329
𧭝,C13330
𧭥,C13331
𧭣,C13332
𧭞,C13333
䜢,C13334
𧭼,C13335
讈,C13336
讉,C13337
𧭸,C13338
𧭻,C13339
𧭹,C13340
𧭽,C13341
讑,C13342
𧮑,C13343
讗,C13344
𧮓,C13345
𧮝,C13346
𧮞,C13347
讝,C13348
𧮙,C13349
𧮫,C13350
䜪,C13351
䜫,C13352
𧮬,C13353
𧮭,C13354
𧮮,C13355
谸,C13356
𧮱,C13357
𧮯,C13358
䜭,C13359
𧮵,C13360
𧮶,C13361
䜮,C13362
𧮽,C13363
𧮺,C13364
䜯,C13365
𧮻,C13366
𧮼,C13367
𧯀,C13368
䜰,C13369
𧯉,C13370
豂,C13371
䜱,C13372
𧯍,C13373
𧯏,C13374
𧯕,C13375
䜲,C13376
豅,C13377
𧯘,C13378
䜴,C13379
𧯠,C13380
𧯡,C13381
䜶,C13382
𧯥,C13383
𧯦,C13384
豊,C13385
䜷,C13386
䜸,C13387
𧯩,C13388
𧯫,C13389
𧯱,C13390
䜺,C13391
𧯰,C13392
䜾,C13393
䜽,C13394
䜼,C13396
𧯷,C13397
𧯺,C13398
䝀,C13399
𧯾,C13400
𧰀,C13401
𧯼,C13402
䝁,C13403
𧰃,C13405
𧰆,C13406
𧰇,C13407
𧰄,C13408
𧰐,C13409
𧰊,C13410
𧰕,C13411
𧰒,C13412
𧰑,C13413
𧰓,C13414
䝃,C13415
𧰘,C13416
𧰙,C13417
𧰠,C13418
䝄,C13419
𧰡,C13420
𧰣,C13421
𧰨,C13422
豖,C13423
𧰩,C13424
䝅,C13425
𧰫,C13426
𧰪,C13427
𢁁,C13428
𢒔,C13429
䝆,C13430
豛,C13431
𧰰,C13432
𧰵,C13433
𧰷,C13434
豠,C13435
𧰹,C13436
豞,C13437
𧰸,C13438
𧰻,C13439
𧱅,C13440
𧱉,C13441
𧱁,C13442
𧰿,C13443
𧱀,C13444
𧱆,C13445
𧱄,C13446
豧,C13447
𧱐,C13448
𧱓,C13449
豩,C13450
𧱊,C13451
𧱒,C13452
𧱏,C13453
䝋,C13454
𧱡,C13455
𧱙,C13456
𧱠,C13457
𧱣,C13458
𧱜,C13459
𧱘,C13460
𧱝,C13461
䝍,C13462
𧱰,C13463
𧱪,C13464
𧱨,C13465
𧱩,C13466
𧱬,C13467
𧱵,C13468
𧱲,C13469
𧱳,C13470
𧱼,C13471
䝏,C13472
𧱻,C13473
𧱾,C13474
䝑,C13475
𧲂,C13476
䝐,C13477
𧲃,C13478
𧲆,C13479
𧲄,C13480
𧲈,C13481
𧲋,C13482
𧲇,C13484
䝒,C13485
𧲍,C13486
𧲌,C13487
𧲗,C13488
䝕,C13489
𧲜,C13490
𧲝,C13491
𧲡,C13492
𧲨,C13493
𧲦,C13494
𧲧,C13495
𧲥,C13496
𧲤,C13497
䝖,C13498
䝚,C13499
𧲭,C13500
𧲵,C13501
𧲯,C13502
𧲱,C13503
豿,C13504
𧲮,C13505
𧲴,C13506
𧲰,C13507
𧳉,C13508
貇,C13509
𧳅,C13510
𧳄,C13511
𧳂,C13512
𧳀,C13513
𧳎,C13514
𧳍,C13515
𧳐,C13516
𧳌,C13517
𧳚,C13518
𧳙,C13519
𧳝,C13520
𧳜,C13521
𧳞,C13522
𧳫,C13523
𧳬,C13524
𧳧,C13525
𧳮,C13526
貐,C13527
𧳺,C13528
𧳼,C13529
𧳸,C13530
𧳹,C13531
𧳶,C13532
𧳻,C13533
𧴄,C13534
𧴅,C13535
𧴂,C13537
𧴇,C13538
䝣,C13539
𧴕,C13540
貚,C13541
𧴎,C13542
𧴌,C13543
䝦,C13544
𧴗,C13545
𧴖,C13546
𧴚,C13547
𧴝,C13548
𧴙,C13549
𧴣,C13550
𧴤,C13551
𧴥,C13552
𧴬,C13553
𧴪,C13554
𧴭,C13555
貥,C13556
䝧,C13557
𧵈,C13558
𧴺,C13559
䝬,C13560
𧵋,C13561
䝪,C13562
𧵊,C13563
𧵑,C13564
𧵌,C13565
貹,C13566
䝫,C13567
䝭,C13568
貱,C13569
䝩,C13570
𧵠,C13571
貵,C13572
𧵨,C13573
賋,C13574
賆,C13575
䝰,C13576
𧶂,C13577
𧵫,C13578
𧵧,C13579
𧵣,C13580
𧵬,C13581
𧵭,C13582
䝱,C13583
𧵱,C13584
𧶆,C13585
䝵,C13586
𧶇,C13587
𧶍,C13588
賏,C13589
賗,C13590
𧶝,C13591
䝳,C13592
㕢,C13593
䝹,C13594
䝶,C13595
賝,C13596
賧,C13597
䝻,C13598
䝽,C13599
䝸,C13600
𧶠,C13601
䝷,C13602
𧶢,C13603
賱,C13604
𧶺,C13605
賰,C13606
䞁,C13607
賳,C13608
䞃,C13609
䞂,C13610
𧶸,C13611
𧶲,C13612
𧶵,C13613
䞀,C13614
䞈,C13615
𧷋,C13616
賲,C13617
𠠋,C13618
賹,C13619
䞆,C13620
賶,C13621
𧷍,C13622
𧷒,C13623
𧷑,C13625
𧷐,C13626
𧷏,C13627
𧷦,C13628
賿,C13629
𧷡,C13630
贃,C13631
贂,C13632
𧷻,C13633
𧷥,C13634
𧷧,C13635
𧷟,C13636
贀,C13637
𧸂,C13638
贉,C13639
𧷾,C13640
𧸅,C13641
𧸕,C13642
𧷿,C13643
𧸈,C13644
𧸙,C13645
𧸗,C13646
贎,C13647
𧸘,C13648
𧸦,C13649
𧸨,C13650
䞊,C13651
𧸫,C13652
𧸧,C13653
𧸿,C13654
𧸳,C13655
𧸲,C13656
贚,C13657
